date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i


type_data,date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
"title+body",2020-05-13 17:28:26.880437,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.7058554736024778,0.16607981220657278,0.5034093449586408,0.49822695035461,0.6990049751243781,0.6343115124153499,0.6650887573964497,0
"title+body",2020-05-13 17:28:29.246112,"(1, 1)",5967,Yes,0.2,RandomForest,0.056338028169014086,8,0.943661971830986,0.6565740078268392,0.18192488262910805,0.4472837022132797,0.4542253521126761,0.6482412060301508,0.6028037383177571,0.6246973365617434,1
"title+body",2020-05-13 17:28:31.565228,"(1, 1)",5967,Yes,0.2,RandomForest,0.07746478873239436,11,0.9225352112676056,0.6404729277266153,0.18251173708920188,0.451056338028169,0.4534270650263621,0.6323529411764706,0.6157517899761337,0.6239419588875453,2
"title+body",2020-05-13 17:28:33.972475,"(1, 1)",5967,Yes,0.2,RandomForest,0.08450704225352113,12,0.9154929577464788,0.6665289430118162,0.1807511737089202,0.4549239883746927,0.4567901234567901,0.6641025641025641,0.5940366972477065,0.6271186440677965,3
"title+body",2020-05-13 17:28:36.269165,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.7061460871239624,0.16842723004694835,0.4887295998211491,0.4865831842576029,0.7120418848167539,0.6057906458797327,0.654632972322503,4
"title+body",2020-05-13 17:28:38.590753,"(1, 1)",5967,Yes,0.2,RandomForest,0.14084507042253522,20,0.8591549295774648,0.7120520993803999,0.1643192488262911,0.5135116253073999,0.4936708860759494,0.6946564885496184,0.6304849884526559,0.6610169491525424,5
"title+body",2020-05-13 17:28:41.125566,"(1, 1)",5967,Yes,0.2,RandomForest,0.09154929577464788,13,0.908450704225352,0.7010435267660444,0.17370892018779344,0.4890733288620613,0.4761061946902655,0.7097625329815304,0.5912087912087912,0.6450839328537171,6
"title+body",2020-05-13 17:28:43.656723,"(1, 1)",5967,Yes,0.2,RandomForest,0.11267605633802814,16,0.8873239436619719,0.6268792533407075,0.18368544600938969,0.4510619271182652,0.4420677361853833,0.6278481012658228,0.5990338164251208,0.6131025957972807,7
"title+body",2020-05-13 1"title+body",7:28:45.978819,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.6509725315870522,0.17077464788732394,0.4571763916834339,0.4640883977900552,0.6631578947368421,0.6072289156626506,0.6339622641509434,8
"title+body",2020-05-13 17:28:48.358906,"(1, 1)",5967,Yes,0.2,RandomForest,0.1056338028169014,15,0.8943661971830986,0.643618718528896,0.17194835680751175,0.4616700201207243,0.45740740740740743,0.6068796068796068,0.65,0.627700127064803,9
"body",2020-05-13 17:11:46.320897,"(1, 1)",5878,Yes,0.2,RandomForest,0.1267605633802817,18,0.8732394366197183,0.6936863834358691,0.17312206572769953,0.4872065727699531,0.4778761061946903,0.6887755102040817,0.6094808126410836,0.6467065868263474,0
"body",2020-05-13 17:11:48.664003,"(1, 1)",5878,Yes,0.2,RandomForest,0.06338028169014084,9,0.9366197183098592,0.6519816029185703,0.18192488262910805,0.4482841493404874,0.4542253521126761,0.6482412060301508,0.6028037383177571,0.6246973365617434,1
"body",2020-05-13 17:11:51.091736,"(1, 1)",5878,Yes,0.2,RandomForest,0.07042253521126761,10,0.9295774647887324,0.6422133776077645,0.18603286384976525,0.4395148669796557,0.44190140845070425,0.6275,0.5990453460620525,0.6129426129426129,2
"body",2020-05-13 17:11:53.366098,"(1, 1)",5878,Yes,0.2,RandomForest,0.11267605633802814,16,0.8873239436619719,0.6759946584069978,0.1766431924882629,0.4756287726358149,0.4691358024691358,0.6700251889168766,0.6100917431192661,0.638655462184874,3
"body",2020-05-13 17:11:55.621107,"(1, 1)",5878,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.6931199739546094,0.1643192488262911,0.5011317907444668,0.4973070017953322,0.7194805194805195,0.6169265033407573,0.6642685851318946,4
"body",2020-05-13 17:11:57.786438,"(1, 1)",5878,Yes,0.2,RandomForest,0.1056338028169014,15,0.8943661971830986,0.6891683203059262,0.1742957746478873,0.479474066621954,0.4686940966010734,0.6752577319587629,0.605080831408776,0.6382460414129112,5
"body",2020-05-13 17:12:00.038477,"(1, 1)",5878,Yes,0.2,RandomForest,0.09859154929577464,14,0.9014084507042254,0.6967480005288694,0.1784037558685446,0.473775989268947,0.4628975265017668,0.7024128686327078,0.5758241758241758,0.6328502415458936,6
"body",2020-05-13 17:12:02.198069,"(1, 1)",5878,Yes,0.2,RandomForest,0.08450704225352113,12,0.9154929577464788,0.6165840746376678,0.1813380281690141,0.4548373574782025,0.4511545293072824,0.630272952853598,0.6135265700483091,0.6217870257037943,7
"body",2020-05-13 17:12:04.349152,"(1, 1)",5878,Yes,0.2,RandomForest,0.09859154929577464,14,0.9014084507042254,0.6484929984456975,0.17370892018779344,0.4595908786049631,0.4598540145985402,0.6545454545454545,0.6072289156626506,0.63,8
"body",2020-05-13 17:12:06.494213,"(1, 1)",5878,Yes,0.2,RandomForest,0.1267605633802817,18,0.8732394366197183,0.63823418513259,0.16842723004694835,0.4708920187793428,0.4655493482309125,0.6142506142506142,0.6578947368421053,0.6353240152477765,9
