date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
17:48.0,"(1, 1)",895,Yes,0.2,RandomForest,0.24581005600000005,44,0.7541899440000001,0.7943695340000001,0.141061453,0.605823801,0.617424242,0.760497667,0.76645768,0.763466042,0
22:23.5,"(1, 1)",895,Yes,0.2,RandomForest,0.223463687,40,0.7765363129999999,0.792715543,0.141061453,0.605458012,0.618387909,0.758887172,0.7695924759999999,0.764202335,1
28:15.5,"(1, 1)",895,Yes,0.2,RandomForest,0.229050279,41,0.7709497209999999,0.7918318040000001,0.138268156,0.610621176,0.622137405,0.7676609109999999,0.76645768,0.767058824,2
29:41.2,"(1, 1)",895,Yes,0.2,RandomForest,0.24581005600000005,44,0.7541899440000001,0.78443448,0.14152700199999999,0.5995189320000001,0.615676359,0.7609375,0.763322884,0.7621283259999999,3
31:05.8,"(1, 1)",895,Yes,0.2,RandomForest,0.21229050300000002,38,0.787709497,0.7954888840000001,0.141061453,0.603828589,0.614993647,0.7646129540000001,0.75862069,0.761605035,4
32:22.2,"(1, 1)",895,Yes,0.2,RandomForest,0.234636872,42,0.765363128,0.789154991,0.136871508,0.6150815820000001,0.627376426,0.76625387,0.7758620690000001,0.771028037,5
33:18.3,"(1, 1)",895,Yes,0.2,RandomForest,0.223463687,40,0.7765363129999999,0.79144104,0.140130354,0.602099406,0.617048346,0.766192733,0.7601880879999999,0.7631786,6
34:39.8,"(1, 1)",895,Yes,0.2,RandomForest,0.217877095,39,0.782122905,0.798414775,0.135009311,0.60245411,0.62962963,0.772727273,0.772727273,0.772727273,7
36:03.8,"(1, 1)",895,Yes,0.2,RandomForest,0.21229050300000002,38,0.787709497,0.793255789,0.140595903,0.599314977,0.6177215189999999,0.7625,0.764890282,0.763693271,8
37:00.3,"(1, 1)",895,Yes,0.2,RandomForest,0.223463687,40,0.7765363129999999,0.795832744,0.140130354,0.605806065,0.618987342,0.762870515,0.76645768,0.764659891,9
2021-02-25 04:40:11.375705,"(1, 1)",895,Yes,0.2,RandomForest,0.25139664804469275,45,0.7486033519553073,0.8040590783797035,0.14338919925512106,0.6045424314977388,0.6178660049627791,0.7466266866566716,0.7817896389324961,0.7638036809815951,0
2021-02-25 04:45:47.151441,"(1, 1)",895,Yes,0.2,RandomForest,0.223463687150838,40,0.7765363128491619,0.8169539153338261,0.14013035381750466,0.6110933758978452,0.623279098873592,0.7661538461538462,0.7697063369397218,0.7679259830377796,0
2021-02-25 04:45:49.169545,"(1, 1)",895,Yes,0.2,RandomForest,0.1843575418994413,33,0.8156424581005587,0.7727554396294585,0.15595903165735567,0.547375188436641,0.5521390374331551,0.7309734513274336,0.6929530201342282,0.7114556416881997,1
2021-02-25 04:45:51.231438,"(1, 1)",895,Yes,0.2,RandomForest,0.2402234636871509,43,0.7597765363128491,0.7988190035316733,0.13640595903165734,0.5914627117141084,0.6029810298102981,0.7478991596638656,0.7568027210884354,0.7523245984784447,2
2021-02-25 04:45:53.268340,"(1, 1)",895,Yes,0.2,RandomForest,0.19553072625698328,35,0.8044692737430168,0.7751053078440506,0.14478584729981378,0.563241553604682,0.5907894736842105,0.7265372168284789,0.7597292724196277,0.7427626137303558,3
2021-02-25 04:45:55.283119,"(1, 1)",895,Yes,0.2,RandomForest,0.1843575418994413,33,0.8156424581005587,0.7808555762098358,0.14990689013035385,0.5441872838520883,0.5706666666666667,0.7495621716287215,0.7051070840197694,0.7266553480475383,4
2021-02-25 04:45:57.351852,"(1, 1)",895,Yes,0.2,RandomForest,0.2346368715083799,42,0.7653631284916201,0.7880136907907442,0.13640595903165734,0.5926443202979516,0.6164921465968587,0.7572347266881029,0.7683523654159871,0.7627530364372469,5
2021-02-25 04:45:59.414635,"(1, 1)",895,Yes,0.2,RandomForest,0.21787709497206706,39,0.782122905027933,0.8033488945970754,0.13687150837988826,0.5875831338121841,0.6131578947368421,0.7702479338842976,0.7504025764895329,0.7601957585644373,6
2021-02-25 04:46:01.471327,"(1, 1)",895,Yes,0.2,RandomForest,0.2681564245810056,48,0.7318435754189945,0.8002241205737297,0.1424581005586592,0.5848962490023942,0.6061776061776062,0.7633711507293355,0.7464342313787639,0.7548076923076923,7
2021-02-25 04:46:03.623575,"(1, 1)",895,Yes,0.2,RandomForest,0.2290502793296089,41,0.770949720670391,0.7880792059495231,0.14851024208566108,0.5617185421654695,0.5851755526657998,0.7512520868113522,0.7258064516129032,0.7383100902379001,8
2021-02-25 04:46:05.578701,"(1, 1)",895,Yes,0.2,RandomForest,0.2346368715083799,42,0.7653631284916201,0.8261420192952649,0.14338919925512103,0.5854659927285626,0.6046213093709885,0.7596774193548387,0.7476190476190476,0.7535999999999999,9
