date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
36:43.9,"(1, 1)",895,Yes,0.2,Baseline,0.189944134,34,0.810055866,0.792485767,0.152234637,0.589611599,0.586599241,0.726134585,0.753246753,0.739442231,0
36:45.6,"(1, 1)",895,Yes,0.2,Baseline,0.145251397,26,0.854748603,0.723056031,0.168528864,0.533606012,0.515394913,0.706422018,0.655877342,0.680212014,1
36:47.2,"(1, 1)",895,Yes,0.2,Baseline,0.162011173,29,0.837988827,0.758258596,0.151769088,0.552635896,0.563002681,0.717948718,0.722891566,0.720411664,2
36:48.8,"(1, 1)",895,Yes,0.2,Baseline,0.145251397,26,0.854748603,0.755348111,0.160148976,0.536525672,0.5491481,0.697171381,0.721170396,0.708967851,3
36:50.5,"(1, 1)",895,Yes,0.2,Baseline,0.167597765,30,0.832402235,0.727767608,0.174115456,0.531145251,0.514915694,0.689236111,0.670608108,0.679794521,4
36:52.1,"(1, 1)",895,Yes,0.2,Baseline,0.145251397,26,0.854748603,0.744146002,0.167132216,0.538782478,0.542091837,0.710702341,0.695581015,0.70306038,5
36:53.6,"(1, 1)",895,Yes,0.2,Baseline,0.122905028,22,0.877094972,0.795846664,0.151303538,0.551460938,0.575718016,0.743676223,0.718241042,0.730737365,6
36:55.1,"(1, 1)",895,Yes,0.2,Baseline,0.117318436,21,0.882681564,0.773197535,0.169459963,0.53128935,0.539823009,0.721283784,0.682108626,0.701149425,7
36:56.7,"(1, 1)",895,Yes,0.2,Baseline,0.12849162,23,0.87150838,0.765218186,0.161545624,0.546539417,0.548764629,0.723842196,0.694078947,0.708648195,8
36:58.4,"(1, 1)",895,Yes,0.2,Baseline,0.134078212,24,0.865921788,0.802819411,0.161545624,0.558821052,0.560759494,0.735880399,0.702060222,0.718572587,9
17:28.1,"(1, 1)",895,Yes,0.2,H2,0.217877095,39,0.782122905,0.801627453,0.142458101,0.609353108,0.616541353,0.756923077,0.76875,0.762790698,0
17:29.9,"(1, 1)",895,Yes,0.2,H2,0.173184358,31,0.826815642,0.77312787,0.160614525,0.53823712,0.541832669,0.729874776,0.677740864,0.702842377,1
17:31.8,"(1, 1)",895,Yes,0.2,H2,0.195530726,35,0.804469274,0.821665087,0.132216015,0.601986344,0.615176152,0.752902156,0.770797963,0.761744966,2
17:33.7,"(1, 1)",895,Yes,0.2,H2,0.223463687,40,0.776536313,0.771955414,0.143389199,0.570187106,0.596858639,0.72611465,0.77027027,0.747540984,3
17:35.5,"(1, 1)",895,Yes,0.2,H2,0.201117318,36,0.798882682,0.775617105,0.15689013,0.551740268,0.567394095,0.736666667,0.711755233,0.723996724,4
17:37.4,"(1, 1)",895,Yes,0.2,H2,0.223463687,40,0.776536313,0.794401808,0.147579143,0.567132216,0.591494845,0.752459016,0.7344,0.743319838,5
