date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
58:19.9,"(1, 1)",900,Yes,0.2,Baseline,0.161971831,23,0.838028169,0.726639094,0.165492958,0.517683881,0.5,0.699751861,0.636568849,0.666666667,0
58:21.2,"(1, 1)",900,Yes,0.2,Baseline,0.091549296,13,0.908450704,0.65475663,0.183098592,0.457070199,0.450704225,0.646464646,0.598130841,0.621359223,1
58:22.6,"(1, 1)",900,Yes,0.2,Baseline,0.091549296,13,0.908450704,0.660442049,0.183685446,0.465118489,0.456597222,0.626190476,0.627684964,0.62693683,2
58:24.0,"(1, 1)",900,Yes,0.2,Baseline,0.112676056,16,0.887323944,0.669684645,0.181924883,0.468195283,0.464594128,0.652912621,0.616972477,0.634433962,3
58:25.3,"(1, 1)",900,Yes,0.2,Baseline,0.154929577,22,0.845070423,0.708615066,0.164906103,0.513399844,0.50177305,0.711055276,0.630289532,0.66824085,4
58:26.7,"(1, 1)",900,Yes,0.2,Baseline,0.133802817,19,0.866197183,0.692721886,0.167840376,0.499443886,0.489285714,0.683291771,0.632794457,0.657074341,5
58:28.1,"(1, 1)",900,Yes,0.2,Baseline,0.105633803,15,0.894366197,0.688531682,0.176643192,0.489872569,0.478336222,0.693467337,0.606593407,0.647127784,6
58:29.4,"(1, 1)",900,Yes,0.2,Baseline,0.105633803,15,0.894366197,0.620070275,0.186032864,0.450807624,0.446771379,0.61686747,0.618357488,0.61761158,7
58:30.9,"(1, 1)",900,Yes,0.2,Baseline,0.105633803,15,0.894366197,0.66711691,0.169014085,0.472719651,0.47920434,0.657568238,0.638554217,0.64792176,8
58:32.2,"(1, 1)",900,Yes,0.2,Baseline,0.112676056,16,0.887323944,0.634557403,0.167840376,0.466079812,0.465420561,0.616336634,0.655263158,0.635204082,9
28:26.9,"(1, 1)",5967,Yes,0.2,H2,0.11971831,17,0.88028169,0.705855474,0.166079812,0.503409345,0.49822695,0.699004975,0.634311512,0.665088757,0
28:29.2,"(1, 1)",5967,Yes,0.2,H2,0.056338028,8,0.943661972,0.656574008,0.181924883,0.447283702,0.454225352,0.648241206,0.602803738,0.624697337,1
28:31.6,"(1, 1)",5967,Yes,0.2,H2,0.077464789,11,0.922535211,0.640472928,0.182511737,0.451056338,0.453427065,0.632352941,0.61575179,0.623941959,2
28:34.0,"(1, 1)",5967,Yes,0.2,H2,0.084507042,12,0.915492958,0.666528943,0.180751174,0.454923988,0.456790123,0.664102564,0.594036697,0.627118644,3
28:36.3,"(1, 1)",5967,Yes,0.2,H2,0.11971831,17,0.88028169,0.706146087,0.16842723,0.4887296,0.486583184,0.712041885,0.605790646,0.654632972,4
28:38.6,"(1, 1)",5967,Yes,0.2,H2,0.14084507,20,0.85915493,0.712052099,0.164319249,0.513511625,0.493670886,0.694656489,0.630484988,0.661016949,5
28:41.1,"(1, 1)",5967,Yes,0.2,H2,0.091549296,13,0.908450704,0.701043527,0.17370892,0.489073329,0.476106195,0.709762533,0.591208791,0.645083933,6
28:43.7,"(1, 1)",5967,Yes,0.2,H2,0.112676056,16,0.887323944,0.626879253,0.183685446,0.451061927,0.442067736,0.627848101,0.599033816,0.613102596,7
28:46.0,"(1, 1)",5967,Yes,0.2,H2,0.11971831,17,0.88028169,0.650972532,0.170774648,0.457176392,0.464088398,0.663157895,0.607228916,0.633962264,8
28:48.4,"(1, 1)",5967,Yes,0.2,H2,0.105633803,15,0.894366197,0.643618719,0.171948357,0.46167002,0.457407407,0.606879607,0.65,0.627700127,9
11:46.3,"(1, 1)",5878,Yes,0.2,H1,0.126760563,18,0.873239437,0.693686383,0.173122066,0.487206573,0.477876106,0.68877551,0.609480813,0.646706587,0
11:48.7,"(1, 1)",5878,Yes,0.2,H1,0.063380282,9,0.936619718,0.651981603,0.181924883,0.448284149,0.454225352,0.648241206,0.602803738,0.624697337,1
