type_data,date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
title+body,28:26.9,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.705855474,0.166079812,0.503409345,0.49822695,0.699004975,0.634311512,0.665088757,0
title+body,28:29.2,"(1, 1)",5967,Yes,0.2,RandomForest,0.056338028,8,0.943661972,0.656574008,0.181924883,0.447283702,0.454225352,0.648241206,0.602803738,0.624697337,1
title+body,28:31.6,"(1, 1)",5967,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.640472928,0.182511737,0.451056338,0.453427065,0.632352941,0.61575179,0.623941959,2
title+body,28:34.0,"(1, 1)",5967,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.666528943,0.180751174,0.454923988,0.456790123,0.664102564,0.594036697,0.627118644,3
title+body,28:36.3,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.706146087,0.16842723,0.4887296,0.486583184,0.712041885,0.605790646,0.654632972,4
title+body,28:38.6,"(1, 1)",5967,Yes,0.2,RandomForest,0.14084507,20,0.85915493,0.712052099,0.164319249,0.513511625,0.493670886,0.694656489,0.630484988,0.661016949,5
title+body,28:41.1,"(1, 1)",5967,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.701043527,0.17370892,0.489073329,0.476106195,0.709762533,0.591208791,0.645083933,6
title+body,28:43.7,"(1, 1)",5967,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.626879253,0.183685446,0.451061927,0.442067736,0.627848101,0.599033816,0.613102596,7
title+body,28:46.0,"(1, 1)",5967,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.650972532,0.170774648,0.457176392,0.464088398,0.663157895,0.607228916,0.633962264,8
title+body,28:48.4,"(1, 1)",5967,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.643618719,0.171948357,0.46167002,0.457407407,0.606879607,0.65,0.627700127,9
