date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i,Hypothesis
58:19.9,"(1, 1)",900,Yes,0.2,RandomForest,0.16197183,23,0.83802817,0.72663909,0.16549296,0.51768388,0.5,0.69975186,0.63656885,0.66666667,0,Baseline
58:21.2,"(1, 1)",900,Yes,0.2,RandomForest,0.0915493,13,0.9084507,0.65475663,0.18309859,0.4570702,0.45070423,0.64646465,0.59813084,0.62135922,1,Baseline
58:22.6,"(1, 1)",900,Yes,0.2,RandomForest,0.0915493,13,0.9084507,0.66044205,0.18368545,0.46511849,0.45659722,0.62619048,0.62768496,0.62693683,2,Baseline
58:24.0,"(1, 1)",900,Yes,0.2,RandomForest,0.11267606,16,0.88732394,0.66968464,0.18192488,0.46819528,0.46459413,0.65291262,0.61697248,0.63443396,3,Baseline
58:25.3,"(1, 1)",900,Yes,0.2,RandomForest,0.15492958,22,0.84507042,0.70861507,0.1649061,0.51339984,0.50177305,0.71105528,0.63028953,0.66824085,4,Baseline
58:26.7,"(1, 1)",900,Yes,0.2,RandomForest,0.13380282,19,0.86619718,0.69272189,0.16784038,0.49944389,0.48928571,0.68329177,0.63279446,0.65707434,5,Baseline
58:28.1,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.68853168,0.17664319,0.48987257,0.47833622,0.69346734,0.60659341,0.64712778,6,Baseline
58:29.4,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.62007028,0.18603286,0.45080762,0.44677138,0.61686747,0.61835749,0.61761158,7,Baseline
58:30.9,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.66711691,0.16901408,0.47271965,0.47920434,0.65756824,0.63855422,0.64792176,8,Baseline
58:32.2,"(1, 1)",900,Yes,0.2,RandomForest,0.11267606,16,0.88732394,0.6345574,0.16784038,0.46607981,0.46542056,0.61633663,0.65526316,0.63520408,9,Baseline
10:34.9,"(1, 1)",716,Yes,0.2,RandomForest,0.154929577,22,0.845070423,0.727516556,0.161971831,0.528247261,0.509769094,0.705159705,0.64785553,0.675294118,0,H4
10:36.1,"(1, 1)",716,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.66578286,0.176643192,0.459652359,0.467256637,0.658354115,0.61682243,0.636911942,1,H4
10:37.3,"(1, 1)",716,Yes,0.2,RandomForest,0.070422535,10,0.929577465,0.647547404,0.183098592,0.455594679,0.456445993,0.628297362,0.625298329,0.626794258,2,H4
10:38.4,"(1, 1)",716,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.673595432,0.17899061,0.472459759,0.471403813,0.658595642,0.623853211,0.640753828,3,H4
10:39.6,"(1, 1)",716,Yes,0.2,RandomForest,0.183098592,26,0.816901408,0.708138281,0.161971831,0.525198413,0.510638298,0.714640199,0.64142539,0.676056338,4,H4
10:40.8,"(1, 1)",716,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.700035517,0.169014085,0.502026045,0.483870968,0.683544304,0.623556582,0.652173913,5,H4
10:41.9,"(1, 1)",716,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.69461942,0.176643192,0.483193606,0.472854641,0.699481865,0.593406593,0.642092747,6,H4
10:43.1,"(1, 1)",716,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.635635257,0.181924883,0.456539235,0.44741533,0.630653266,0.606280193,0.618226601,7,H4
10:44.3,"(1, 1)",716,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.668055915,0.166666667,0.482411133,0.484573503,0.662531017,0.643373494,0.652811736,8,H4
10:45.5,"(1, 1)",716,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.641878634,0.166666667,0.467538565,0.468164794,0.618811881,0.657894737,0.637755102,9,H4
