date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
58:19.9,"(1, 1)",900,Yes,0.2,RandomForest,0.161971831,23,0.838028169,0.726639094,0.165492958,0.517683881,0.5,0.699751861,0.636568849,0.666666667,0
58:21.2,"(1, 1)",900,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.65475663,0.183098592,0.457070199,0.450704225,0.646464646,0.598130841,0.621359223,1
58:22.6,"(1, 1)",900,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.660442049,0.183685446,0.465118489,0.456597222,0.626190476,0.627684964,0.62693683,2
58:24.0,"(1, 1)",900,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.669684645,0.181924883,0.468195283,0.464594128,0.652912621,0.616972477,0.634433962,3
58:25.3,"(1, 1)",900,Yes,0.2,RandomForest,0.154929577,22,0.845070423,0.708615066,0.164906103,0.513399844,0.50177305,0.711055276,0.630289532,0.66824085,4
58:26.7,"(1, 1)",900,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.692721886,0.167840376,0.499443886,0.489285714,0.683291771,0.632794457,0.657074341,5
58:28.1,"(1, 1)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.688531682,0.176643192,0.489872569,0.478336222,0.693467337,0.606593407,0.647127784,6
58:29.4,"(1, 1)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.620070275,0.186032864,0.450807624,0.446771379,0.61686747,0.618357488,0.61761158,7
58:30.9,"(1, 1)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.66711691,0.169014085,0.472719651,0.47920434,0.657568238,0.638554217,0.64792176,8
58:32.2,"(1, 1)",900,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.634557403,0.167840376,0.466079812,0.465420561,0.616336634,0.655263158,0.635204082,9
52:45.4,"(1, 1)",5728,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.72497827,0.163732394,0.515582383,0.508802817,0.698067633,0.652370203,0.674445741,0
52:46.7,"(1, 1)",5728,Yes,0.2,RandomForest,0.070422535,10,0.929577465,0.654524304,0.184859155,0.446506819,0.446397188,0.643037975,0.593457944,0.617253949,1
52:48.1,"(1, 1)",5728,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.658874084,0.186032864,0.45405209,0.448695652,0.623188406,0.61575179,0.619447779,2
52:49.4,"(1, 1)",5728,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.670642613,0.179577465,0.467217192,0.470588235,0.657004831,0.623853211,0.64,3
52:50.8,"(1, 1)",5728,Yes,0.2,RandomForest,0.161971831,23,0.838028169,0.712250913,0.16314554,0.521638162,0.506216696,0.714285714,0.634743875,0.672169811,4
52:52.2,"(1, 1)",5728,Yes,0.2,RandomForest,0.14084507,20,0.85915493,0.690316801,0.165492958,0.510644422,0.492805755,0.690176322,0.632794457,0.660240964,5
52:53.5,"(1, 1)",5728,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.687187873,0.174295775,0.495819361,0.482578397,0.699494949,0.608791209,0.650998825,6
52:54.9,"(1, 1)",5728,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.616375955,0.186619718,0.447012631,0.437168142,0.620603015,0.596618357,0.608374384,7
52:56.3,"(1, 1)",5728,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.672775001,0.167840376,0.487458082,0.484684685,0.657701711,0.648192771,0.652912621,8
52:57.6,"(1, 1)",5728,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.651159675,0.167253521,0.467572099,0.468283582,0.616707617,0.660526316,0.637865311,9
53:00.3,"(1, 1)",2864,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.727045843,0.165492958,0.511102727,0.5,0.699751861,0.636568849,0.666666667,0
53:01.6,"(1, 1)",2864,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.645578405,0.186619718,0.443052761,0.444055944,0.638190955,0.593457944,0.615012107,1
53:02.9,"(1, 1)",2864,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.656311508,0.180751174,0.465671809,0.457746479,0.635696822,0.62052506,0.628019324,2
53:04.3,"(1, 1)",2864,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.673318696,0.180164319,0.476215627,0.469775475,0.655421687,0.623853211,0.639247944,3
53:05.9,"(1, 1)",2864,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.710619071,0.171948357,0.49747932,0.48415493,0.697969543,0.61247216,0.652431791,4
53:07.6,"(1, 1)",2864,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.693393003,0.166666667,0.508682651,0.494661922,0.683046683,0.642032333,0.661904762,5
53:08.9,"(1, 1)",2864,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.690491395,0.176643192,0.486390566,0.477430556,0.694444444,0.604395604,0.646298472,6
53:10.2,"(1, 1)",2864,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.613603562,0.188967136,0.443041583,0.436077058,0.613300493,0.601449275,0.607317073,7
53:11.5,"(1, 1)",2864,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.672243856,0.165492958,0.478705567,0.483516484,0.66835443,0.636144578,0.651851852,8
53:12.9,"(1, 1)",2864,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.640002525,0.164906103,0.47082495,0.472795497,0.622222222,0.663157895,0.642038217,9
53:15.5,"(1, 1)",1432,Yes,0.2,RandomForest,0.147887324,21,0.852112676,0.718153233,0.160798122,0.521861726,0.512455516,0.707616708,0.650112867,0.677647059,0
53:17.0,"(1, 1)",1432,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.647170108,0.1842723,0.448820702,0.452006981,0.641089109,0.605140187,0.622596154,1
53:18.4,"(1, 1)",1432,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.656833192,0.180751174,0.466627543,0.463414634,0.631828979,0.634844869,0.633333333,2
53:19.9,"(1, 1)",1432,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.679102911,0.180751174,0.478445674,0.470790378,0.652380952,0.628440367,0.640186916,3
53:21.2,"(1, 1)",1432,Yes,0.2,RandomForest,0.147887324,21,0.852112676,0.707088303,0.170774648,0.502095909,0.487676056,0.699494949,0.616926503,0.655621302,4
