date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i,Hypothesis
58:19.9,"(1, 1)",900,Yes,0.2,RandomForest,0.16197183,23,0.83802817,0.72663909,0.16549296,0.51768388,0.5,0.69975186,0.63656885,0.66666667,0,Baseline
58:21.2,"(1, 1)",900,Yes,0.2,RandomForest,0.0915493,13,0.9084507,0.65475663,0.18309859,0.4570702,0.45070423,0.64646465,0.59813084,0.62135922,1,Baseline
58:22.6,"(1, 1)",900,Yes,0.2,RandomForest,0.0915493,13,0.9084507,0.66044205,0.18368545,0.46511849,0.45659722,0.62619048,0.62768496,0.62693683,2,Baseline
58:24.0,"(1, 1)",900,Yes,0.2,RandomForest,0.11267606,16,0.88732394,0.66968464,0.18192488,0.46819528,0.46459413,0.65291262,0.61697248,0.63443396,3,Baseline
58:25.3,"(1, 1)",900,Yes,0.2,RandomForest,0.15492958,22,0.84507042,0.70861507,0.1649061,0.51339984,0.50177305,0.71105528,0.63028953,0.66824085,4,Baseline
58:26.7,"(1, 1)",900,Yes,0.2,RandomForest,0.13380282,19,0.86619718,0.69272189,0.16784038,0.49944389,0.48928571,0.68329177,0.63279446,0.65707434,5,Baseline
58:28.1,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.68853168,0.17664319,0.48987257,0.47833622,0.69346734,0.60659341,0.64712778,6,Baseline
58:29.4,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.62007028,0.18603286,0.45080762,0.44677138,0.61686747,0.61835749,0.61761158,7,Baseline
58:30.9,"(1, 1)",900,Yes,0.2,RandomForest,0.1056338,15,0.8943662,0.66711691,0.16901408,0.47271965,0.47920434,0.65756824,0.63855422,0.64792176,8,Baseline
58:32.2,"(1, 1)",900,Yes,0.2,RandomForest,0.11267606,16,0.88732394,0.6345574,0.16784038,0.46607981,0.46542056,0.61633663,0.65526316,0.63520408,9,Baseline
47:33.3,"(2, 2)",900,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.688760895,0.173122066,0.508604404,0.499151104,0.668181818,0.663656885,0.665911665,0,H5
47:34.7,"(2, 2)",900,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.642633,0.188380282,0.452816901,0.451282051,0.627078385,0.61682243,0.621908127,1,H5
47:36.1,"(2, 2)",900,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.639293879,0.183685446,0.467164096,0.463121784,0.622119816,0.644391408,0.633059789,2,H5
47:37.5,"(2, 2)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.648694508,0.177816901,0.482984015,0.482935154,0.653579677,0.649082569,0.65132336,3,H5
47:39.0,"(2, 2)",900,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.676875523,0.176056338,0.496688464,0.487179487,0.67695962,0.634743875,0.655172414,4,H5
47:40.3,"(2, 2)",900,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.67397988,0.174882629,0.500997653,0.484429066,0.658823529,0.64665127,0.652680653,5,H5
47:41.9,"(2, 2)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.668780069,0.176056338,0.510999329,0.492385787,0.681498829,0.63956044,0.659863946,6,H5
47:43.4,"(2, 2)",900,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.605402081,0.192488263,0.458800022,0.44500846,0.597727273,0.6352657,0.615925059,7,H5
47:44.8,"(2, 2)",900,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.656755903,0.17370892,0.479778672,0.478873239,0.64,0.655421687,0.647619048,8,H5
47:46.3,"(2, 2)",900,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.641237413,0.177816901,0.460613682,0.455035971,0.58974359,0.665789474,0.625463535,9,H5
47:48.9,"(3, 3)",900,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.66708977,0.172535211,0.507782808,0.498293515,0.671264368,0.659142212,0.665148064,0,H5
47:50.4,"(3, 3)",900,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.635184836,0.189553991,0.450782473,0.450680272,0.623529412,0.619158879,0.62133646,1,H5
47:51.9,"(3, 3)",900,Yes,0.2,RandomForest,0.070422535,10,0.929577465,0.63550865,0.180751174,0.470567852,0.468965517,0.62817552,0.649164678,0.638497653,2,H5
47:53.4,"(3, 3)",900,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.646705919,0.180164319,0.479652918,0.477891156,0.648960739,0.644495413,0.646720368,3,H5
47:54.8,"(3, 3)",900,Yes,0.2,RandomForest,0.147887324,21,0.852112676,0.68982049,0.164319249,0.529149899,0.515570934,0.697892272,0.663697105,0.680365297,4,H5
47:56.3,"(3, 3)",900,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.658157625,0.177230047,0.500947351,0.481989708,0.651972158,0.648960739,0.650462963,5,H5
47:57.8,"(3, 3)",900,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.659221062,0.17899061,0.494215292,0.48392555,0.677725118,0.628571429,0.652223489,6,H5
47:59.2,"(3, 3)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.591098617,0.187206573,0.463724011,0.455631399,0.608200456,0.644927536,0.626025791,7,H5
48:00.8,"(3, 3)",900,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.653342769,0.176056338,0.473725687,0.472759227,0.635933806,0.648192771,0.642004773,8,H5
48:02.4,"(3, 3)",900,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.622894443,0.17899061,0.459205231,0.452423698,0.587412587,0.663157895,0.622991347,9,H5
48:05.0,"(4, 4)",900,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.657992422,0.178403756,0.49358093,0.484745763,0.660508083,0.645598194,0.652968037,0,H5
48:06.5,"(4, 4)",900,Yes,0.2,RandomForest,0.063380282,9,0.936619718,0.617386276,0.1907277,0.44256651,0.445392491,0.622911695,0.609813084,0.616292798,1,H5
48:08.0,"(4, 4)",900,Yes,0.2,RandomForest,0.056338028,8,0.943661972,0.618494535,0.182511737,0.46904203,0.464716007,0.625,0.644391408,0.634547591,2,H5
48:09.5,"(4, 4)",900,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.65242614,0.182511737,0.475908227,0.471986418,0.645011601,0.637614679,0.641291811,3,H5
48:11.1,"(4, 4)",900,Yes,0.2,RandomForest,0.133802817,19,0.866197183,0.681956743,0.165492958,0.524572435,0.513793103,0.694638695,0.663697105,0.67881549,4,H5
48:12.6,"(4, 4)",900,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.634285926,0.181338028,0.486544266,0.469982847,0.646226415,0.632794457,0.639439907,5,H5
48:14.1,"(4, 4)",900,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.657200709,0.178403756,0.497736419,0.483870968,0.680190931,0.626373626,0.652173913,6,H5
48:15.7,"(4, 4)",900,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.581726132,0.191901408,0.45555835,0.443877551,0.6,0.630434783,0.614840989,7,H5
48:17.4,"(4, 4)",900,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.628202265,0.174295775,0.473725687,0.474336283,0.641148325,0.645783133,0.643457383,8,H5
48:18.8,"(4, 4)",900,Yes,0.2,RandomForest,0.077464789,11,0.922535211,0.613914565,0.180164319,0.451224011,0.44384058,0.587529976,0.644736842,0.614805521,9,H5
